document_number,publication_date,product_name,hs_codes,countries,html_url,document_title
 2018-23758,10/31/2018,Magnesium,"['8104.11.00', '8104.19.00', '8104.30.00']",['Israel'],https://www.federalregister.gov/documents/2018/10/31/2018-23758/magnesium-from-israel-institution-of-anti-dumping-and-countervailing-duty-investigations-and,Magnesium From Israel; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-20655,09/24/2018,Mattresses,"['9404.21.00', '9404.29.10', '9404.29.90']",['China'],https://www.federalregister.gov/documents/2018/09/24/2018-20655/mattresses-from-china-institution-of-antidumping-duty-investigation-and-scheduling-of-preliminary,Mattresses From China; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2018-20990,09/27/2018,Aluminum wire and cable,['8544.49.90'],['China'],https://www.federalregister.gov/documents/2018/09/27/2018-20990/aluminum-wire-and-cable-from-china-institution-of-anti-dumping-and-countervailing-duty,Aluminum Wire and Cable From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-20926,09/26/2018,Refillable stainless steel kegs,"['7310.10.00', '7310.29.00']","['China', 'Germany', 'Mexico']",https://www.federalregister.gov/documents/2018/09/26/2018-20926/refillable-stainless-steel-kegs-from-china-germany-and-mexico-institution-of-anti-dumping-and,"Refillable Stainless Steel Kegs From China, Germany, and Mexico; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2018-19790,09/12/2018,Strontium chromate,"['2841.50.91', '3212.90.00']","['Austria', 'France']",https://www.federalregister.gov/documents/2018/09/12/2018-19790/strontium-chromate-from-austria-and-france-institution-of-anti-dumping-duty-investigations-and,Strontium Chromate From Austria and France; Institution of Anti-Dumping Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-17471,08/15/2018,Steel trailer wheels,['8716.90.50'],['China'],https://www.federalregister.gov/documents/2018/08/15/2018-17471/steel-trailer-wheels-from-china-institution-of-anti-dumping-and-countervailing-duty-investigations,Steel Trailer Wheels From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-13727,06/26/2018,Steel racks,"['9403.20.00', '7326.90.86', '9403.20.00', '7326.90.86']",['China'],https://www.federalregister.gov/documents/2018/06/26/2018-13727/steel-racks-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Steel Racks From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-11392,05/29/2018,Steel propane cylinders,"['7311.00.00', '7311.00.00']","['China', 'Taiwan', 'Thailand']",https://www.federalregister.gov/documents/2018/05/29/2018-11392/steel-propane-cylinders-from-china-taiwan-and-thailand-institution-of-anti-dumping-and,"Steel Propane Cylinders From China, Taiwan, and Thailand; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2018-08412,04/23/2018,Quartz surface products,"['6810.99.00', '6810.99.00']",['China'],https://www.federalregister.gov/documents/2018/04/23/2018-08412/quartz-surface-products-from-china-institution-of-anti-dumping-and-countervailing-duty,Quartz Surface Products From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-06688,04/03/2018,Steel wheels,"['8708.70.45', '8708.70.60', '8716.90.50']",['China'],https://www.federalregister.gov/documents/2018/04/03/2018-06688/steel-wheels-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Steel Wheels From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-06716,04/03/2018,Glycine,"['2922.49.43', '2922.49.80']","['China', 'India', 'Japan', 'Thailand']",https://www.federalregister.gov/documents/2018/04/03/2018-06716/glycine-from-china-india-japan-and-thailand-institution-of-antidumping-and-countervailing-duty,"Glycine From China, India, Japan, and Thailand; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
